set,image,method,condition,lam,fold,IoU,Dice,Precision,Recall,Accuracy
Left,045.jpg,SVM,noBC,,0,0.16573033707865167,0.28433734939759037,0.17281780902167546,0.8016304347826086,0.954681396484375
Left,046.jpg,SVM,noBC,,0,0.0488011882028432,0.09306089419380943,0.04935975391658917,0.8117647058823529,0.7947845458984375
Left,011.jpg,LightGBM,noBC,,0,0.0054703660016753,0.01088120781406736,0.0054703660016753,1.0,0.1122894287109375
Left,020.jpg,LightGBM,noBC,,0,0.04917363803305448,0.09373784519642163,0.05015608740894901,0.7151335311572701,0.8577880859375
Left,036.jpg,LightGBM,noBC,,0,0.03616313954431201,0.06980201893731904,0.03662642687032931,0.7408637873754153,0.8186187744140625
Left,045.jpg,LightGBM,noBC,,0,0.08764655418930511,0.16116734586565007,0.08921554358899723,0.8328804347826086,0.9026336669921875
Left,046.jpg,LightGBM,noBC,,0,0.03958286611347836,0.07615143997411282,0.039905041826814376,0.8305882352941176,0.738616943359375
Left,011.jpg,KNN,noBC,,0,0.005424648245465333,0.01079076041139774,0.005424648245465333,1.0,0.104766845703125
Left,020.jpg,KNN,noBC,,0,0.031936257044762585,0.06189579409918393,0.03231515469323545,0.7314540059347181,0.77197265625
Left,036.jpg,KNN,noBC,,0,0.028205592800628135,0.05486372180451128,0.02843746194129826,0.7757475083056479,0.754486083984375
Left,045.jpg,KNN,noBC,,0,0.05424344666493641,0.10290497291974397,0.05475982532751092,0.8519021739130435,0.83319091796875
Left,046.jpg,KNN,noBC,,0,0.0322104415514696,0.062410609803666625,0.03239886603968861,0.8470588235294118,0.6699066162109375
Left,011.jpg,LDA,noBC,,0,0.0053911988678482375,0.010724579395401836,0.0053911988678482375,1.0,0.09918212890625
Left,020.jpg,LDA,noBC,,0,0.08207705192629816,0.15170278637770898,0.08468717594192879,0.7270029673590505,0.9163818359375
Left,036.jpg,LDA,noBC,,0,0.044783612812531376,0.0857280153772225,0.0454962766500051,0.7408637873754153,0.8548431396484375
Left,045.jpg,LDA,noBC,,0,0.14190792596108212,0.2485453034081463,0.1467124631992149,0.8125,0.94482421875
Left,046.jpg,LDA,noBC,,0,0.04418429003021148,0.08462929475587704,0.0445997458703939,0.8258823529411765,0.768280029296875
Left,011.jpg,QDA,noBC,,0,0.006120302189920627,0.012166143902670849,0.006120302189920627,1.0,0.2070770263671875
Left,020.jpg,QDA,noBC,,0,0.2110358180058083,0.34852118305355717,0.23851203501094093,0.6468842729970327,0.975128173828125
Left,036.jpg,QDA,noBC,,0,0.08980963045912654,0.1648170982326346,0.09404315196998124,0.6661129568106312,0.93798828125
Left,045.jpg,QDA,noBC,,0,0.2844739530132789,0.4429423459244533,0.31309724564362,0.7567934782608695,0.9786224365234375
Left,046.jpg,QDA,noBC,,0,0.07631364324828149,0.14180558562459405,0.07808774439675727,0.7705882352941177,0.8790283203125
Left,011.jpg,SVM,BC,1.0484980656152683,0,0.38227146814404434,0.5531062124248497,0.770949720670391,0.43125,0.9965972900390625
Left,020.jpg,SVM,BC,1.5208099071724723,0,0.4321550741163056,0.6035031847133758,0.6512027491408935,0.5623145400593472,0.992401123046875
Left,036.jpg,SVM,BC,1.3797608111480542,0,0.3947001394700139,0.566,0.7110552763819096,0.4700996677740864,0.993377685546875
Left,045.jpg,SVM,BC,2.5015558467717605,0,0.08637736885471024,0.1590190873467324,0.08766550522648084,0.8546195652173914,0.8984832763671875
Left,046.jpg,SVM,BC,1.2805618886866539,0,0.4411764705882353,0.6122448979591837,0.7618213660245184,0.5117647058823529,0.9915924072265625
Left,011.jpg,LightGBM,BC,1.0484980656152683,0,0.0655664585191793,0.12306404353285894,0.07104881585306912,0.459375,0.9680328369140625
Left,020.jpg,LightGBM,BC,1.5208099071724723,0,0.08984462958793064,0.16487603305785123,0.0957753240518483,0.5919881305637982,0.938323974609375
Left,036.jpg,LightGBM,BC,1.3797608111480542,0,0.06975655430711611,0.13041575492341356,0.0751008064516129,0.4950166112956811,0.939361572265625
Left,045.jpg,LightGBM,BC,2.5015558467717605,0,0.056768558951965066,0.10743801652892562,0.05727387160582629,0.8654891304347826,0.8385009765625
Left,046.jpg,LightGBM,BC,1.2805618886866539,0,0.11651469098277609,0.20871143375680581,0.12928611579539068,0.5411764705882353,0.94677734375
Left,011.jpg,KNN,BC,1.0484980656152683,0,0.030497887194561823,0.0591905865573186,0.03138589525430138,0.51875,0.9194793701171875
Left,020.jpg,KNN,BC,1.5208099071724723,0,0.0563028706143392,0.10660364973086517,0.05847616304191272,0.6023738872403561,0.8961639404296875
Left,036.jpg,KNN,BC,1.3797608111480542,0,0.048451395277522236,0.09242468558057912,0.05067350865939705,0.5249169435215947,0.905303955078125
Left,045.jpg,KNN,BC,2.5015558467717605,0,0.04725041992258818,0.0902370990237099,0.047559541311379,0.8790760869565217,0.800933837890625
